customer_id,name,gender,customer_type
5001,David,,regular
5002,Shane,,Regular
5003,Tammy,F,VIP
5004,Aimee,,vip
5005,Norma,,VIP
5006,Donna,,Regular
5007,Amanda,M,VIP
5008,Maria,F,regular
5009,Cynthia,M,regular
5010,Elijah,M,regular
5011,Jennifer,F,regular
5012,Edward,F,vip
5013,Samantha,M,VIP
5014,Suzanne,F,regular
5015,Joanna,,regular
5016,Angela,M,VIP
5017,Christopher,,vip
5018,William,F,regular
5019,Joanna,M,regular
5020,Alvin,,vip
5021,Tabitha,F,regular
5022,Michael,M,Regular
5023,Tom,,regular
5024,Gregory,F,vip
5025,Melissa,,vip
5026,Tonya,,VIP
5027,James,M,regular
5028,Kimberly,,VIP
5029,Michael,F,VIP
5030,Michael,M,vip
5031,Mark,,Regular
5032,Michael,F,regular
5033,Tanya,M,vip
5034,Jerry,F,VIP
5035,Cristina,M,regular
5036,Michael,M,VIP
5037,Alicia,M,VIP
5038,Justin,M,Regular
5039,Charles,F,Regular
5040,Calvin,,regular
5041,Jennifer,M,regular
5042,Stephanie,F,regular
5043,Jessica,F,VIP
5044,David,,vip
5045,Benjamin,,VIP
5046,Adam,M,Regular
5047,Mike,M,Regular
5048,Kathryn,M,Regular
5049,Laura,F,vip
5050,Daniel,M,regular
